id,observation datetime,discipline_id,comments,floor number,hospital_id,location_id,method_id,observer,unit_id
10,2018-11-07 20:34:00,1,asdfasdfasdf,12,4,1,1,tyler@smartterhealth.com,1
11,2018-11-07 20:40:00,2,asdf,12,4,1,2,tyler@smartterhealth.com,1
12,2018-11-07 20:40:00,4,asdf,45,6,2,2,tyler@smartterhealth.com,3
13,2018-11-07 20:44:00,3,,11,7,2,1,tyler@smartterhealth.com,1
14,2018-11-07 20:44:00,5,,1,6,2,2,tyler@smartterhealth.com,7
15,2018-11-07 20:46:00,1,,3,5,1,1,tyler@smartterhealth.com,5
16,2018-11-07 20:46:00,4,Only one hand washed,12,6,2,1,tyler@smartterhealth.com,2
17,2018-11-07 21:35:00,3,asdfasf,5,6,2,2,tyler@smartterhealth.com,2
18,2018-02-07 21:35:00,1,,14,6,1,1,tyler@smartterhealth.com,6
19,2018-03-07 21:35:00,4,,4,5,1,1,tyler@smartterhealth.com,6
20,2018-04-07 20:36:00,4,,4,6,2,2,tyler@smartterhealth.com,5
21,2018-06-07 20:36:00,3,,4,7,1,1,tyler@smartterhealth.com,2
22,2018-11-07 21:36:00,4,,6,4,3,1,tyler@smartterhealth.com,2
23,2018-01-07 21:37:00,3,,5,5,1,1,tyler@smartterhealth.com,4
24,2018-11-07 21:37:00,3,,5,5,1,1,tyler@smartterhealth.com,3
25,2018-01-07 21:37:00,3,,5,5,1,1,tyler@smartterhealth.com,3
26,2018-01-07 21:38:00,3,Only one hand washed,5,6,1,1,tyler@smartterhealth.com,7
27,2018-06-07 20:38:00,1,,5,7,1,1,tyler@smartterhealth.com,3
28,2018-07-07 20:38:00,1,,5,6,1,1,tyler@smartterhealth.com,6
29,2018-08-07 20:43:00,3,,5,5,1,1,tyler@smartterhealth.com,7
30,2018-09-07 20:43:00,2,,4,5,1,2,tyler@smartterhealth.com,2
31,2018-10-07 20:44:00,1,,5,7,1,1,tyler@smartterhealth.com,7
32,2018-10-07 20:44:00,1,,5,7,1,1,tyler@smartterhealth.com,5
33,2018-11-07 21:53:00,2,,3,4,2,2,tyler@smartterhealth.com,6
34,2018-11-08 13:57:00,1,,2,4,1,1,tyler@smartterhealth.com,5
35,2018-11-08 19:05:00,4,Any notes.,4,7,1,2,tyler@smartterhealth.com,6
36,2018-11-08 19:48:00,5,They didnd't do it!,3,7,1,2,tyler@smartterhealth.com,4
37,2018-11-09 00:05:00,1,,4,7,1,1,tyler@smartterhealth.com,3
38,2018-11-09 14:57:00,4,asdfasdfasdfasdfasdfasdf,3,6,3,2,tyler@smartterhealth.com,7
39,2018-11-12 17:03:00,4,Washed very well,4,7,2,2,shelly@smartterhealth.com,2
40,2018-11-12 17:04:00,5,only used water,7,6,1,2,shelly@smartterhealth.com,2
41,2018-11-12 19:31:00,1,,13,4,1,1,tyler@smartterhealth.com,5
42,2018-11-12 21:03:00,1,,3,7,1,1,tyler@smartterhealth.com,2
43,2018-11-12 21:10:00,7,did not wash,2,6,3,1,shelly@smartterhealth.com,2
44,2018-11-13 15:50:00,1,well done,5,7,1,1,tyler@smartterhealth.com,2
45,2018-11-13 19:16:00,1,Did not wash long enough,4,7,1,1,tyler@smartterhealth.com,2
46,2018-11-13 23:17:00,1,Did not wash long enough,2,6,1,1,tyler@smartterhealth.com,3
47,2018-11-13 23:18:00,1,Only one hand washed,3,6,1,1,tyler@smartterhealth.com,1
48,2018-01-14 14:15:00,1,Only one hand washed,34,4,1,1,tyler@smartterhealth.com,1
49,2018-03-14 13:16:00,1,Only one hand washed,3,4,1,1,tyler@smartterhealth.com,2
50,2018-11-14 14:32:00,1,Only one hand washed,3,6,1,1,tyler@smartterhealth.com,1
51,2018-11-14 17:29:00,2,Only one hand washed,2,6,3,2,tyler@smartterhealth.com,6
52,2018-11-14 17:39:00,1,,4,6,1,1,tyler@smartterhealth.com,1
53,2018-04-14 17:04:00,1,,3,7,1,1,tyler@smartterhealth.com,1
54,2018-05-14 17:05:00,1,,3,5,1,1,tyler@smartterhealth.com,1
55,2018-05-14 18:52:00,2,,2,6,1,1,tdurham@microsoft.com,1
56,2018-06-14 18:53:00,5,,3,4,2,2,tdurham@microsoft.com,3
57,2018-11-14 20:00:00,2,Foam running out,4,5,2,1,tavishud@microsoft.com,4
58,2018-11-14 20:01:00,1,None,4,5,1,2,tavishud@microsoft.com,2
59,2018-11-14 20:01:00,6,well done,3,4,1,1,tdurham@microsoft.com,4
60,2018-11-14 21:04:00,1,only used water,3,5,2,1,tyler@smartterhealth.com,1
61,2018-11-14 21:07:00,6,,2,6,1,1,tyler@smartterhealth.com,1
62,2018-08-07 20:07:00,6,,2,6,1,1,tyler@smartterhealth.com,1
63,2018-01-14 21:19:00,4,,2,4,2,1,tdurham@microsoft.com,5
64,2018-02-01 21:20:00,4,asdf,4,5,1,1,tdurham@microsoft.com,4
65,2018-04-14 20:20:00,4,,3,7,1,1,tdurham@microsoft.com,1
66,2018-05-14 20:21:00,4,,4,7,1,1,tdurham@microsoft.com,1
67,2018-11-14 22:59:00,7,,2,5,1,1,tdurham@microsoft.com,5
68,2018-11-16 18:14:00,2,,2,6,1,1,tnguestuser1@smartterhealth.com,4
69,2018-05-16 17:09:00,1,only used water,3,6,1,1,tyler@smartterhealth.com,1
70,2018-06-16 17:58:00,4,only used water,5,4,1,1,tyler@smartterhealth.com,4
71,2018-09-16 18:58:00,6,,2,5,2,1,tyler@smartterhealth.com,1
72,2018-11-16 19:58:00,5,,3,7,2,1,tyler@smartterhealth.com,2
73,2018-09-16 18:59:00,5,,3,7,2,1,tyler@smartterhealth.com,1
74,2018-08-16 18:59:00,5,only used water,4,5,1,1,tyler@smartterhealth.com,2
75,2018-07-16 19:00:00,5,only used water,3,7,2,1,tyler@smartterhealth.com,2
76,2018-07-16 19:00:00,3,,3,6,1,1,tyler@smartterhealth.com,1
77,2018-11-19 15:38:00,6,only used water,2,7,1,1,tyler@smartterhealth.com,4
78,2018-11-19 22:17:00,5,only used water,3,7,1,1,tyler@smartterhealth.com,4
79,2018-11-28 16:33:00,3,only used water,5,7,3,1,tyler@smartterhealth.com,4
80,2018-11-28 20:20:00,5,well done,5,7,1,2,tyler@smartterhealth.com,4
81,2018-11-29 01:09:00,6,only used water,3,7,1,1,tdurham@microsoft.com,4
82,2018-12-05 14:57:00,1,,3,4,1,1,sohils@smartterhealth.com,1
83,2018-12-06 20:11:00,8,only used water,5,6,3,1,tyler@smartterhealth.com,5
84,2018-12-13 16:40:00,1,,3,7,1,1,tyler@smartterhealth.com,1
85,2019-01-15 17:18:00,7,,101,4,2,2,shelly@smartterhealth.com,3
86,2019-01-15 18:16:00,1,,1,4,1,1,greg@smartterhealth.com,1
87,2019-01-16 17:17:00,1,This is amazing!,1,4,1,1,ssp@smartterhealth.com,1
88,2019-01-28 14:23:00,3,,4,6,1,1,tyler@smartterhealth.com,7
89,2019-01-31 03:43:00,1,this was a good day of data tracking,3,5,1,1,tspn@smartterhealth.com,1
90,2019-01-31 19:21:00,1,Not long enough,12,7,1,1,klowery@smartterhealth.com,1
91,2019-01-31 19:43:00,6,,4,6,2,2,shelly@smartterhealth.com,4
92,2019-01-31 19:47:00,5,,2,5,1,2,shelly@smartterhealth.com,6
93,2019-01-31 19:47:00,2,,5,4,2,2,shelly@smartterhealth.com,3
94,2019-01-31 19:47:00,3,,3,7,2,2,shelly@smartterhealth.com,4
95,2019-01-31 19:48:00,4,,6,7,3,2,shelly@smartterhealth.com,2
96,2019-01-31 19:48:00,1,,6,5,1,2,shelly@smartterhealth.com,5
97,2019-01-31 19:48:00,1,,6,4,1,2,shelly@smartterhealth.com,1
98,2019-01-31 19:48:00,1,,4,6,2,2,shelly@smartterhealth.com,2
99,2019-01-31 19:49:00,1,,4,4,1,2,shelly@smartterhealth.com,3
100,2019-01-31 19:49:00,1,,4,6,1,1,shelly@smartterhealth.com,1
101,2019-01-31 19:49:00,1,,5,4,3,2,shelly@smartterhealth.com,3
102,2019-01-31 19:49:00,1,,4,6,1,1,shelly@smartterhealth.com,4
103,2019-01-31 19:49:00,1,,4,5,1,2,shelly@smartterhealth.com,3
104,2019-01-31 19:50:00,1,,2,5,1,1,shelly@smartterhealth.com,3
126,2019-02-05 18:32:00,1,,2,6,1,1,tspd@smartterhealth.com,1
127,2019-02-06 06:48:00,3,,1,6,1,1,klowery@smartterhealth.com,1
128,2019-02-05 06:48:00,1,,2,6,1,1,klowery@smartterhealth.com,1
129,2019-02-06 06:49:00,4,,3,6,1,1,klowery@smartterhealth.com,1
130,2019-02-06 06:49:00,8,,4,6,1,1,klowery@smartterhealth.com,1
131,2019-02-06 06:49:00,9,,5,6,2,1,klowery@smartterhealth.com,1
132,2019-02-06 06:50:00,7,,9,6,3,1,klowery@smartterhealth.com,1
133,2019-02-06 16:51:00,5,Didn't wash,5,6,1,1,tyler@smartterhealth.com,1
134,2019-02-08 18:47:00,1,,7,6,1,1,shelly@smartterhealth.com,1
135,2019-02-11 23:26:00,1,,7,6,1,1,tspd@smartterhealth.com,1
136,2019-02-12 02:21:00,6,,3,7,1,1,klowery@smartterhealth.com,1
137,2019-02-12 19:31:00,3,,5,6,1,1,klowery@smartterhealth.com,1
138,2019-02-15 20:19:00,6,,5,4,2,2,shelly@smartterhealth.com,1
139,2019-02-21 14:37:00,1,,100,4,2,1,tspd@smartterhealth.com,1
140,2019-03-01 16:34:00,1,well done,35,6,1,1,tspd@smartterhealth.com,1
141,2019-03-05 22:10:00,1,,5,4,1,1,Sohil@contosohealthsystem.onmicrosoft.com,1
142,2019-03-07 18:30:00,8,,9,4,2,2,shelly@smartterhealth.com,4
